id,title,author,downloads,subjects,birth,death,pyearp
PG61969,Prince Dusty: A Story of the Oil Regions,"Munroe, Kirk",8,"{'Oil well drilling -- Juvenile fiction', 'Boys -- Juvenile fiction', 'Petroleum workers -- Juvenile fiction', 'Older African Americans -- Juvenile fiction', 'Children -- Conduct of life -- Juvenile fiction', 'Virginia -- Juvenile fiction', 'Family life -- Juvenile fiction', 'Runaways -- Juvenile fiction', 'Railroad stories'}",1850.0,1930.0,1890.0
PG21614,For the Temple: A Tale of the Fall of Jerusalem,"Henty, G. A. (George Alfred)",182,"{'Soldiers -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Romans -- Juvenile fiction', 'Jews -- Juvenile fiction', 'Temple of Jerusalem (Jerusalem) -- Juvenile fiction', 'War stories'}",1832.0,1902.0,1867.0
PG16115,Red Pepper's Patients: With an Account of Anne Linton's Case in Particular,"Richmond, Grace S. (Grace Smith)",9,{'Physicians -- Fiction'},1866.0,1959.0,1912.0
PG18857,A Journey to the Centre of the Earth,"Verne, Jules",1873,"{'Earth (Planet) -- Core -- Fiction', 'Voyages, Imaginary -- Fiction', 'Adventure stories', 'Science fiction'}",1828.0,1905.0,1866.0
PG53844,The Land of Oz,"Baum, L. Frank (Lyman Frank)",63,"{'Women soldiers -- Juvenile fiction', 'Queens -- Juvenile fiction', 'Practical jokes -- Juvenile fiction', 'Friendship -- Juvenile fiction', 'Magic -- Juvenile fiction', 'Youth -- Conduct of life -- Juvenile fiction', 'Fantasy fiction', 'Conduct of life -- Juvenile fiction', 'Voyages and travels -- Juvenile fiction', 'Oz (Imaginary place) -- Juvenile fiction', 'Kings and rulers -- Juvenile fiction', 'Witches -- Juvenile fiction'}",1856.0,1919.0,1888.0
PG27872,"A History of the French Novel, Vol. 2: To the Close of the 19th Century","Saintsbury, George",40,{'French fiction -- History and criticism'},1845.0,1933.0,1889.0
PG43677,"Whispers at Dawn; Or, The Eye","Snell, Roy J. (Roy Judson)",11,"{'Mystery and detective stories', 'Thieves -- Juvenile fiction', 'Bonds -- Juvenile fiction'}",1878.0,1959.0,1918.0
PG13416,The Darling and Other Stories,"Chekhov, Anton Pavlovich",424,"{'Chekhov, Anton Pavlovich, 1860-1904 -- Translations into English', 'Russia -- Social life and customs -- Fiction'}",1860.0,1904.0,1882.0
PG13532,Kindred of the Dust,"Kyne, Peter B. (Peter Bernard)",16,"{'Washington (State) -- Fiction', 'Love stories', 'Children of the rich -- Fiction', 'Lumber trade -- Fiction'}",1880.0,1957.0,1918.0
PG8444,Cæsar or Nothing,"Baroja, Pío",23,{'Spanish fiction -- Translations into English'},1872.0,1956.0,1914.0
PG40519,The Captain of the Janizaries: A story of the times of Scanderberg and the fall of Constantinople,"Ludlow, James M. (James Meeker)",34,"{'Scanderbeg, 1405?-1468 -- Fiction', 'Sieges -- Fiction', 'Janizaries -- Fiction', 'Istanbul (Turkey) -- History -- Siege, 1453 -- Fiction', 'Historical fiction'}",1841.0,1932.0,1886.0
