id;title;author;year-birth;year-death;year-worldcat;year-ref;language;downloads;subjects;shortauthor;shorttitle;worldcaturl
PG34537;Cursed by a Fortune;Fenn, George Manville;1831.0;1909.0;1896.0;1896;['en'];7;{'Love stories', 'Guardian and ward -- Fiction', 'Inheritance and succession -- Fiction'};George+Fenn;Cursed+Fortune;https://www.worldcat.org/search?q=George+Fenn+Cursed+Fortune&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG11686;Without Dogma: A Novel of Modern Poland;Sienkiewicz, Henryk;1846.0;1916.0;1898.0;1898;['en'];11;{'Poland -- Fiction'};Henryk+Sienkiewicz;Without+Dogma;https://www.worldcat.org/search?q=Henryk+Sienkiewicz+Without+Dogma&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG28167;A Modern Mercenary;Prichard, K. (Kate);;;1899.0;1899;['en'];27;{'Adventure stories', 'British -- Europe -- Fiction'};Prichard;Modern+Mercenary;https://www.worldcat.org/search?q=Prichard+Modern+Mercenary&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG61734;Postscripts;Henry, O.;1862.0;1910.0;2004.0;1896;['en'];62;{'American wit and humor', 'American poetry -- 19th century', 'American fiction -- 19th century', 'Short stories, American'};Henry;Postscripts;https://www.worldcat.org/search?q=Henry+Postscripts&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG10468;Aunt Jane's Nieces in Society;Baum, L. Frank (Lyman Frank);1856.0;1919.0;2006.0;1898;['en'];30;{'Cousins -- Juvenile fiction', 'Mystery and detective stories', 'Family -- Juvenile fiction', 'Social classes -- Juvenile fiction', 'New York (N.Y.) -- Juvenile fiction', 'Debutantes -- Juvenile fiction', 'Young women -- Social life and customs -- Juvenile fiction', 'Upper class -- Juvenile fiction', 'Uncles -- Juvenile fiction'};Frank+Baum;Aunt+Jane;https://www.worldcat.org/search?q=Frank+Baum+Aunt+Jane&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG34428;Alas! A Novel;Broughton, Rhoda;1840.0;1920.0;1890.0;1890;['en'];10;{'Fiction'};Rhoda+Broughton;Alas+Novel;https://www.worldcat.org/search?q=Rhoda+Broughton+Alas+Novel&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG3096;Beatrice;Haggard, H. Rider (Henry Rider);1856.0;1925.0;1890.0;1890;['en'];41;{'English fiction'};Rider+Haggard;Beatrice;https://www.worldcat.org/search?q=Rider+Haggard+Beatrice&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG20695;The Spirit of Sweetwater;Garland, Hamlin;1860.0;1940.0;1892.0;1892;['en'];12;{'Gold mines and mining -- Fiction'};Hamlin+Garland;Spirit+Sweetwater;https://www.worldcat.org/search?q=Hamlin+Garland+Spirit+Sweetwater&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG50676;The Infidel: A Story of the Great Revival;Braddon, M. E. (Mary Elizabeth);1835.0;1915.0;1890.0;1890;['en'];16;{'Evangelical Revival -- England -- History -- 18th century -- Fiction', 'Wesley, John, 1703-1791 -- Fiction', 'Methodists -- Fiction'};Braddon;Infidel+Story;https://www.worldcat.org/search?q=Braddon+Infidel+Story&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG25449;The Young Castellan: A Tale of the English Civil War;Fenn, George Manville;1831.0;1909.0;1895.0;1895;['en'];24;{'Great Britain -- History -- Civil War, 1642-1649 -- Fiction'};George+Fenn;Young+Castellan;https://www.worldcat.org/search?q=George+Fenn+Young+Castellan&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG48277;Ben Stone at Oakdale;Scott, Morgan;;;1898.0;1898;['en'];11;{'Football stories', 'Schools -- Juvenile fiction', 'Football -- Juvenile fiction'};Morgan+Scott;Stone+Oakdale;https://www.worldcat.org/search?q=Morgan+Scott+Stone+Oakdale&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG37263;Coelebs: The Love Story of a Bachelor;Young, F. E. Mills (Florence Ethel Mills);1875.0;;;1895;['en'];8;{'Bachelors -- Fiction', 'Love stories', 'England -- Social life and customs -- 20th century -- Fiction'};Mills+Young;Coelebs+Love;https://www.worldcat.org/search?q=Mills+Young+Coelebs+Love&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG24615;A Middy of the King: A Romance of the Old British Navy;Collingwood, Harry;1851.0;1922.0;;1896;['en'];14;{'Seafaring life -- Juvenile fiction', 'Great Britain -- Fiction', 'Pirates -- Juvenile fiction'};Harry+Collingwood;Middy+King;https://www.worldcat.org/search?q=Harry+Collingwood+Middy+King&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG517;The Emerald City of Oz;Baum, L. Frank (Lyman Frank);1856.0;1919.0;2013.0;1898;['en'];119;{'Battles -- Juvenile fiction', 'Magic -- Juvenile fiction', 'Aunts -- Juvenile fiction', 'Animals, Mythical -- Juvenile fiction', 'Gale, Dorothy (Fictitious character) -- Juvenile fiction', 'Fantasy literature', 'Voyages and travels -- Juvenile fiction', 'Good and evil -- Juvenile fiction', 'Oz (Imaginary place) -- Juvenile fiction', 'Kings and rulers -- Juvenile fiction', 'Uncles -- Juvenile fiction', 'Princess Ozma (Fictitious character) -- Juvenile fiction'};Frank+Baum;Emerald+City;https://www.worldcat.org/search?q=Frank+Baum+Emerald+City&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG2525;John Ingerfield, and Other Stories;Jerome, Jerome K. (Jerome Klapka);1859.0;1927.0;1893.0;1893;['en'];79;{'Short stories', 'England -- Social life and customs -- 19th century -- Fiction'};Jerome+Jerome;John+Ingerfield;https://www.worldcat.org/search?q=Jerome+Jerome+John+Ingerfield&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG23632;'way Down In Lonesome Cove: 1895;Murfree, Mary Noailles;1850.0;1922.0;1895.0;1895;['en'];5;{'Fiction'};Mary+Murfree;Down+Lonesome;https://www.worldcat.org/search?q=Mary+Murfree+Down+Lonesome&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG23014;"""A Soldier Of The Empire""";Page, Thomas Nelson;1853.0;1922.0;2010.0;1898;['en'];5;{'Short stories', 'United States -- Social life and customs -- Fiction'};Thomas+Page;Soldier+Empire;https://www.worldcat.org/search?q=Thomas+Page+Soldier+Empire&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
