id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type
PG34202,The Girl From Tim's Place,"Munn, Charles Clark",1848.0,1917.0,['en'],15,{'Fiction'},
PG34205,Some Little People,"Kringle, George",,,['en'],39,"{'Pets -- Juvenile fiction', 'Friendship -- Juvenile fiction', 'Play -- Juvenile fiction', 'Cats -- Juvenile fiction', 'Brothers and sisters -- Juvenile fiction', 'Dogs -- Juvenile fiction', 'Poverty -- Juvenile fiction'}",
PG34208,The Law of Hemlock Mountain,"Lundsford, Hugh",1879.0,1957.0,['en'],32,"{'Kentucky -- Fiction', 'Cumberland Mountains -- Fiction', 'Love stories'}",
PG34218,Hildegarde's Home,"Richards, Laura Elizabeth Howe",1850.0,1943.0,['en'],25,"{'Inheritance and succession -- Juvenile fiction', 'Wealth -- Juvenile fiction', 'Friendship -- Juvenile fiction', 'Youth -- Conduct of life -- Juvenile fiction', 'Charity -- Juvenile fiction', 'Country life -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Mothers and daughters -- Juvenile fiction'}",
PG34219,The Enchanted Castle,"Nesbit, E. (Edith)",1858.0,1924.0,['en'],141,"{'Wishes -- Juvenile fiction', 'Castles -- Juvenile fiction', 'Magic -- Juvenile fiction', 'Friendship -- Juvenile fiction', 'Fantasy fiction, English', 'Brothers and sisters -- Juvenile fiction', 'Rings -- Juvenile fiction', 'Great Britain -- History -- Edward VII, 1901-1910 -- Juvenile fiction'}",
PG34220,Two Royal Foes,"Madden, Eva Annie",1863.0,,['en'],7,"{'Germany -- Fiction', 'Luise, Queen, consort of Frederick William III, King of Prussia, 1776-1810 -- Fiction', 'Napoleon I, Emperor of the French, 1769-1821 -- Fiction', 'Kings and rulers -- Fiction'}",
PG34232,From Kingdom to Colony,"Devereux, Mary",,1914.0,['en'],13,"{'United States -- History -- Revolution, 1775-1783 -- Fiction'}",
PG3423,"The Strolling Saint; being the confessions of the high and mighty Agostino D'Anguissola, tyrant of Mondolfo and Lord of Carmina, in the state of Piacenza","Sabatini, Rafael",1875.0,1950.0,['en'],49,"{'Historical fiction', 'Italy -- History -- 1492-1559 -- Fiction'}",
PG34240,Nevermore,"Boldrewood, Rolf",1826.0,1915.0,['en'],14,"{'Ballarat (Vic.) -- Fiction', 'Australia -- Gold discoveries -- Fiction'}",
PG34243,The Headswoman,"Grahame, Kenneth",1859.0,1932.0,['en'],37,"{'Sex role -- Fiction', 'Executions and executioners -- Fiction', 'Satire'}",
PG34244,The Star-Gazers,"Fenn, George Manville",1831.0,1909.0,['en'],9,{'Fiction'},
PG34246,Of High Descent,"Fenn, George Manville",1831.0,1909.0,['en'],5,{'Fiction'},
PG34247,Caught in a Trap,"Hutcheson, John C. (John Conroy)",,,['en'],10,"{'Inheritance and succession -- Fiction', 'Marriage -- Fiction'}",
PG34248,The Man with a Shadow,"Fenn, George Manville",1831.0,1909.0,['en'],20,{'Fiction'},
PG3424,For the Term of His Natural Life,"Clarke, Marcus Andrew Hislop",1846.0,1881.0,['en'],130,"{'Historical fiction', 'Penal colonies -- Australia -- Fiction', 'Penal transportation -- Fiction', 'Australia -- Fiction', 'Prisoners -- Fiction'}",
PG34250,Victor Ollnee's Discipline,"Garland, Hamlin",1860.0,1940.0,['en'],15,"{'Spiritualism -- Fiction', 'Young men -- Fiction', 'Mothers and sons -- Fiction'}",
PG34252,Vanitas: Polite Stories,"Lee, Vernon",1856.0,1935.0,['en'],42,{'English fiction'},
PG34254,A Chariot of Fire,"Phelps, Elizabeth Stuart",1844.0,1911.0,['en'],13,"{'Social classes -- Fiction', 'Short stories', 'Traffic accidents -- Fiction'}",
PG34255,Comrades,"Phelps, Elizabeth Stuart",1844.0,1911.0,['en'],7,"{'Married people -- Fiction', 'Older people -- Fiction', 'Connecticut -- Fiction', 'Memorial Day -- Fiction', 'Short stories', 'Veterans -- United States -- Fiction'}",
PG34256,The Supply at Saint Agatha's,"Phelps, Elizabeth Stuart",1844.0,1911.0,['en'],14,"{'Clergy -- Fiction', 'Churches -- Fiction', 'Short stories'}",
PG3425,Samantha at Saratoga,"Holley, Marietta",1836.0,1926.0,['en'],13,"{'Husbands -- Fiction', 'Saratoga Springs (N.Y.) -- Fiction', 'Rich people -- Fiction', 'New York (State) -- Fiction', 'Manners and customs -- Fiction'}",
PG34262,"Octavia, the Octoroon","Lee, J. F.",,,['en'],7,{'African Americans -- Fiction'},
PG34266,The Graysons: A Story of Illinois,"Eggleston, Edward",1837.0,1902.0,['en'],5,"{'Lincoln, Abraham, 1809-1865 -- Fiction', 'Presidents -- United States -- Fiction', 'Illinois -- Fiction'}",
PG34270,Barbara Ladd,"Roberts, Charles G. D., Sir",1860.0,1943.0,['en'],26,"{'United States -- History -- Colonial period, ca. 1600-1775 -- Fiction', 'New York (N.Y.) -- Fiction', 'Girls -- Fiction', 'Connecticut -- Fiction'}",
PG34277,A Mysterious Disappearance,"Tracy, Louis",1863.0,1928.0,['en'],63,"{'Detective and mystery stories', 'Fiction'}",
PG3427,"Kilo : being the love story of Eliph' Hewlitt, book agent","Butler, Ellis Parker",1869.0,1937.0,['en'],10,"{'Love stories', 'Book industries and trade -- Fiction'}",
PG34280,Lightnin': After the Play of the Same Name by Winchell Smith and Frank Bacon,"Bacon, Frank",1864.0,1922.0,['en'],22,"{'Married people -- Fiction', 'Hotels -- Fiction', 'Nevada -- Fiction', 'California -- Fiction'}",
PG34281,The Sheriff of Badger: A Tale of the Southwest Borderland,"Pattullo, George",1879.0,1967.0,['en'],51,"{'Western stories', 'Sheriffs -- Fiction'}",
PG34282,Jupiter Lights,"Woolson, Constance Fenimore",1840.0,1894.0,['en'],7,{'Fiction'},
PG34284,The Wood Fire in No. 3,"Smith, Francis Hopkinson",1838.0,1915.0,['en'],5,"{'Short stories, American', 'Artists -- Fiction', 'Storytelling -- Fiction'}",
PG3428,The Two Vanrevels,"Tarkington, Booth",1869.0,1946.0,['en'],24,"{'Triangles (Interpersonal relations) -- Fiction', 'Mistaken identity -- Fiction', 'American fiction -- 20th century', 'Man-woman relationships -- Fiction'}",
