;author;title;year;avgsentlen
PG28705;Sewell+Wright;;1944;20.397504456327987
PG64658;Gardner+Fox;When+Kohonnes;1958;14.315598548972188
PG1182;Sax+Rohmer;Dope;1920;17.80569362855852
PG36501;Sigourney;Olive+Leaves;1800;24.641591544917624
PG32931;Bertram+Mitford;Harley+Greenoak;1894;19.608148704468643
PG20728;Beam+Piper;Space+Viking;1944;18.895329441201
PG65537;Robert+Silverberg;Harwood+Vortex;1955;15.430260047281324
PG18778;Allen+Raine;Garthowen+Story;1882;24.169300714440354
PG47022;Elizabeth+Haight;Essays+Greek;1943;24.612086330935252
PG41422;Emily+Jenkinson;Barbara+Lynn;1914;20.484815420985633
PG64361;Carl+Selwyn;Earth+Missing;1950;15.82690909090909
PG428;Anthony+Hope;Frivolous+Cupid;1895;20.625725338491296
PG12669;Susan+Ferrier;Marriage;1818;30.85809214412286
PG62568;César+Malan;Stories+from;1823;25.123428571428573
PG24698;Oliver+Optic;School+Conquest;1863;19.92063492063492
PG767;Anne+Brontë;Agnes+Grey;1844;36.26568867155664
PG32900;David+Brien;Rats+Belfry;1941;15.17361111111111
PG7025;Walter+Scott;Complete;1812;39.23155737704918
PG15180;Alice+Rice;Honorable+Percival;1914;19.01759755164499
PG35036;Siberiak+Mamin;Verotchka+Tales;1892;12.94870630957785
PG28682;Madeline+Leslie;Minnie;1863;26.836206896551722
PG4965;Walter+Scott;Waverley+Sixty;1814;33.64933946008041
PG55654;James+Connolly;Deep+Toll;1906;19.099352953454392
PG37453;Paul+Kock;Barber+Paris;1839;23.0821997105644
PG19381;Clara+Pierson;Among+Farmyard;1899;20.288553259141494
PG60595;Manly+Wellman;Half+Around;1954;14.2
PG47613;Capwell+Wyckoff;Mystery+Hunters;1934;17.028620005667328
PG57210;Hulbert+Footner;Substitute+Millionaire;1914;14.55837183168935
PG56750;George+Croly;Tarry+thou;1828;26.877998500749626
PG2549;Elizabeth+Gaskell;Doom+Griffiths;1859;32.139655172413796
PG39105;Thomas+Cooper;Wise+Saws;1858;44.498383968972206
PG42353;Elizabeth+Sandham;Deaf+Dumb;1810;37.72183908045977
