,title,author,downloads,subjects,firstpubyear,shortauthor,shorttitle,worldcaturl
PG37339,'Midst the Wild Carpathians,"Jókai, Mór",39,"{'Transylvania (Romania) -- History -- Fiction', 'Historical fiction', 'Hungarian fiction -- Translations into English'}",1894.0,Mór+Jókai,Midst+Wild,https://www.worldcat.org/search?q=Mór+Jókai+Midst+Wild&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG452,"Lavengro: The Scholar, the Gypsy, the Priest","Borrow, George",160,"{'England -- Fiction', 'Romanies -- Fiction'}",1900.0,George+Borrow,Lavengro+Scholar,https://www.worldcat.org/search?q=George+Borrow+Lavengro+Scholar&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG61005,Floating Fancies among the Weird and the Occult,"Holmes, Clara H.",41,"{'Short stories, American', 'Paranormal fiction', 'American fiction -- 19th century'}",1898.0,Clara+Holmes,Floating+Fancies,https://www.worldcat.org/search?q=Clara+Holmes+Floating+Fancies&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG18960,The King's Men: A Tale of To-morrow,"Stimson, Frederic Jesup",17,"{'Political fiction', 'Great Britain -- Fiction', 'Science fiction'}",1937.0,Frederic+Stimson,King+Tale,https://www.worldcat.org/search?q=Frederic+Stimson+King+Tale&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG38222,The Quest of the 'Golden Hope': A Seventeenth Century Story of Adventure,"Westerman, Percy F. (Percy Francis)",34,"{'Adventure stories', 'Sea stories', 'Pirates -- Juvenile fiction', 'Great Britain -- History -- James II, 1685-1688 -- Juvenile fiction'}",1900.0,Percy+Westerman,Quest+Golden,https://www.worldcat.org/search?q=Percy+Westerman+Quest+Golden&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG38325,The Happy Warrior,"Hutchinson, A. S. M. (Arthur Stuart-Menteth)",15,{'Fiction'},1909.0,Hutchinson,Happy+Warrior,https://www.worldcat.org/search?q=Hutchinson+Happy+Warrior&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG1667,My Aunt Margaret's Mirror,"Scott, Walter",49,"{'Magic -- Fiction', 'Scotland -- Social life and customs -- Fiction'}",1832.0,Walter+Scott,Aunt+Margaret,https://www.worldcat.org/search?q=Walter+Scott+Aunt+Margaret&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG1954,Colonel Chabert,"Balzac, Honoré de",280,"{'Legal stories', 'France -- Fiction', 'French fiction -- Translations into English', 'Napoleonic Wars, 1800-1815 -- Veterans -- Fiction', 'Justice, Administration of -- Political aspects -- France -- Fiction', 'Historical fiction'}",1896.0,Honoré+Balzac,Colonel+Chabert,https://www.worldcat.org/search?q=Honoré+Balzac+Colonel+Chabert&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG10452,Peter's Mother,"De La Pasture, Henry, Mrs.",3,"{'England -- Social life and customs -- 20th century -- Fiction', 'South African War, 1899-1902 -- Veterans -- Fiction', 'Love stories', 'Mothers and sons -- Fiction', 'Widows -- Fiction', 'Upper class -- England -- Fiction'}",1949.0,Henry+Pasture,Peter+Mother,https://www.worldcat.org/search?q=Henry+Pasture+Peter+Mother&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG14885,Red Pottage,"Cholmondeley, Mary",12,{'Fiction'},1900.0,Mary+Cholmondeley,Pottage,https://www.worldcat.org/search?q=Mary+Cholmondeley+Pottage&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG54256,"Frank Reade Jr.'s Air Wonder, The ""Kite""; Or, A Six Weeks' Flight Over the Andes","Senarens, Luis",5,"{'Popular literature -- United States', 'Dime novels', 'Airships -- Fiction', 'American fiction -- 19th century', 'Science fiction', 'Adventure stories', 'Inventors -- United States -- Fiction'}",1893.0,Luis+Senarens,Frank+Reade,https://www.worldcat.org/search?q=Luis+Senarens+Frank+Reade&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG59517,"Sink or Swim; or, Harry Raymond's Resolve","Alger, Horatio, Jr.",20,"{'Gentry -- Juvenile fiction', 'Wealth -- Juvenile fiction', 'Bildungsromans', 'Kidnapping -- Juvenile fiction', 'Success -- Juvenile fiction', 'Families -- Juvenile fiction', 'Youth and death -- Juvenile fiction', 'Poverty -- Juvenile fiction', 'Arson -- Juvenile fiction'}",1870.0,Horatio+Alger,Sink+Swim,https://www.worldcat.org/search?q=Horatio+Alger+Sink+Swim&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG18176,Yorkshire Tales. Third Series: Amusing sketches of Yorkshire Life in the Yorkshire Dialect,"Hartley, John",18,"{'English language -- Dialects -- England -- Yorkshire', 'Yorkshire (England) -- Fiction'}",1877.0,John+Hartley,Yorkshire+Tales,https://www.worldcat.org/search?q=John+Hartley+Yorkshire+Tales&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG3682,Mr. Crewe's Career — Volume 2,"Churchill, Winston",1,"{'Political fiction', 'Didactic fiction', 'Social problems -- Fiction'}",1908.0,Winston+Churchill,Crewe+Career,https://www.worldcat.org/search?q=Winston+Churchill+Crewe+Career&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG8913,The Portent and Other Stories,"MacDonald, George",54,"{'Short stories', 'Highlands (Scotland) -- Fiction'}",1909.0,George+MacDonald,Portent+Other,https://www.worldcat.org/search?q=George+MacDonald+Portent+Other&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG62278,A Son of Courage,"McKishnie, Archie P.",6,{'Canada -- Fiction'},1920.0,Archie+McKishnie,Courage,https://www.worldcat.org/search?q=Archie+McKishnie+Courage&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG56562,Kidnapped (Illustrated): Being Memoirs of the Adventures of David Balfour in the Year 1751,"Stevenson, Robert Louis",68,"{'Historical fiction', 'Kidnapping -- Fiction', 'Adventure and adventurers -- Fiction', 'Scotland -- History -- 18th century -- Fiction'}",1880.0,Robert+Stevenson,Kidnapped+Illustrated,https://www.worldcat.org/search?q=Robert+Stevenson+Kidnapped+Illustrated&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG64255,The City of Comrades,"King, Basil",13,{'Canadian fiction -- 20th century'},1917.0,Basil+King,City+Comrades,https://www.worldcat.org/search?q=Basil+King+City+Comrades&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG33697,The Children of the World,"Heyse, Paul",22,{'German fiction -- Translations into English'},1882.0,Paul+Heyse,Children+World,https://www.worldcat.org/search?q=Paul+Heyse+Children+World&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG1565,The Last Days of Pompeii,"Lytton, Edward Bulwer Lytton, Baron",170,"{'Historical fiction', 'Pompeii (Extinct city) -- Fiction'}",1834.0,Edward+Lytton,Last+Days,https://www.worldcat.org/search?q=Edward+Lytton+Last+Days&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG15817,The Melting of Molly,"Daviess, Maria Thompson",28,"{'Reducing diets -- Fiction', 'Love stories', 'Widows -- Fiction'}",1912.0,Maria+Daviess,Melting+Molly,https://www.worldcat.org/search?q=Maria+Daviess+Melting+Molly&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
PG45029,"On the Yukon Trail: Radio-Phone Boys Series, #2","Snell, Roy J. (Roy Judson)",16,"{'Yukon -- Juvenile fiction', 'Radio -- Juvenile fiction'}",1922.0,Roy+Snell,Yukon+Trail,https://www.worldcat.org/search?q=Roy+Snell+Yukon+Trail&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc
