;author;year;avgsentlen
PG56933;Stoddard;1880;20.77006893484545
PG25542;Atherton;1902;19.147072766058308
PG66195;Thomson;1900;26.463464938126105
PG59909;Hawkes;1912;20.098434004474274
PG21639;Webster;1896;19.22340425531915
PG3263;Lincoln;1907;15.79676782861975
PG30313;Seton;1903;23.14204163868368
PG55464;Ellis;1894;19.931638246041413
PG61682;Bullen;1886;38.71606557377049
PG50332;O'Brien;1845;22.10902255639098
PG52756;Oliphant;1862;22.046628859483302
PG59422;Haggard;1890;27.042435424354245
PG25768;Daudet;1868;28.41121889498102
PG1747;Lincoln;1908;18.497536945812808
PG17387;Little;1902;17.904761904761905
PG288;Cabell;1918;23.104007341694707
PG60125;Mason;1906;16.97939206594539
PG35912;Reid;1850;20.99679973050362
PG44062;Snell;1918;13.385310054184226
PG1840;Dreiser;1908;21.23842787409527
PG46343;Leroux;1898;22.6440410418311
PG6294;Parker;1897;20.579003181336162
PG25151;Alger;1866;14.64026895778857
PG22752;Raine;1912;14.90375
PG6279;Parker;1897;20.597308488612835
PG33490;Thurston;1893;17.18353976865595
PG238;Webster;1896;20.30244839174268
PG25986;Hichens;1907;15.91186839012926
PG5102;Duncan;1892;22.512017774187033
PG4058;Pater;1866;38.11207394569613
PG29570;Hall;1912;19.49866950505588
PG59911;Yates;1862;35.43631144599928
PG3183;Twain;1872;19.527522935779817
PG23631;Murfree;1886;32.60230292294066
PG31099;Beyerlein;1910;20.588490099009903
PG41180;Scott;1902;17.437191798598494
PG22674;Ralphson;1910;25.338953888506538
PG25998;Altsheler;1890;21.17472
PG19330;King;1888;27.33590932509016
PG9154;MacDonald;1864;29.27357881136951
PG56577;Malet;1892;22.294336118848655
PG6181;Parker;1897;19.137751303052866
PG23363;Aldrich;1872;28.047021943573668
PG16093;Harré;1916;17.68803545051699
PG30979;Bedford-Jones;1918;23.413251729643427
PG14304;Potter;1904;24.79310344827586
PG3622;Trollope;1848;18.368495620814013
PG43971;Merrick;1902;18.291561938958708
PG42874;Brereton;1914;27.138077000604717
PG30853;Bangs;1892;24.686233403214537
PG21721;Ballantyne;1860;29.861948955916475
PG21616;Morrow;1888;22.438368860055608
PG1601;Rinehart;1917;16.448568629585285
PG58680;Delano;1910;21.86457873842082
PG47433;Allen;1874;25.762312633832977
PG45401;Aimard;1850;24.894552869210603
PG4539;Curwood;1902;19.029589632829374
PG3646;Churchill;1909;25.752244897959184
PG35142;Werner;1878;24.572953736654803
PG35787;Phillips;1900;18.130365659777425
PG53049;Burnham;1890;16.92197682838523
PG41698;Porter;1866;27.984768211920528
PG52055;Lowndes;1908;31.81603541564191
PG14534;Finley;1868;24.298881193393715
PG42800;Mulford;1920;19.2166388340671
PG57497;Barbour;1907;17.596830113917783
PG63964;Russell;1878;21.776592592592593
PG3629;Dreiser;1908;20.42863992328592
PG21227;Robertson;1859;24.13937093275488
PG19412;Williamson;1901;27.29094643162759
PG22938;Vandercook;1917;23.339607201309327
PG26399;Abbott;1915;11.119297575873258
PG47211;Gallon;1890;22.89661789397937
PG60792;Coppard;1918;23.006385068762278
PG65189;Irvin;1918;12.57254430759988
PG2192;Galsworthy;1900;19.846418338108883
PG10781;Jacobs;1903;27.39512195121951
PG48459;Hancock;1895;17.891205560010693
PG34829;Abbott;1915;21.03049660004121
PG50676;Braddon;1875;26.15458077047588
PG37325;Stables;1875;21.417505650297926
PG31866;Tucker;1845;29.325030876904076
PG59113;Cullum;1905;15.936354202698029
PG29617;Gibbs;1906;17.15991521431936
PG22554;Mighels;1890;22.622568807339448
PG44172;Fitzhugh;1913;19.09359223300971
PG10728;Walton;1894;25.71688942891859
PG56579;Benson;1904;27.109824873849806
PG11639;Cabell;1918;29.985401459854014
PG53727;Peattie;1898;20.414878397711014
PG8929;MacDonald;1864;25.05824535857299
PG38136;Wilson;1881;27.27029702970297
PG55020;Baum;1888;20.23910915320607
PG8403;Benét;1920;23.938987187309333
PG44222;Cobb;1910;25.116938183441196
PG46348;Ralphson;1910;22.89861386138614
PG1970;Rinehart;1917;16.09141647421093
PG21472;Kingston;1847;27.477953550992932
PG25356;May;1870;21.054545454545455
PG44404;Cook;1900;20.122073578595316
PG5140;Trollope;1848;22.059799147900183
PG34045;Molesworth;1880;25.61489446435683
PG55949;Gratacap;1884;34.206896551724135
PG36079;Lowndes;1908;23.805091333074234
PG42840;North;1918;21.242057142857142
PG5452;Ebers;1868;24.17032392894462
PG48911;Bain;1902;33.26716839134525
PG6719;Roe;1863;22.0567943821609
PG24006;Miller;1875;19.998254037538192
PG65205;Talbot;1912;20.162815884476533
PG545;Burroughs;1912;27.658176943699733
PG3105;Warner;1864;22.349787578393688
PG14779;Westall;1868;21.964616524638757
PG3632;Collins;1856;17.75799617844978
PG6186;Parker;1897;22.271428571428572
PG6244;Parker;1897;20.722443559096945
PG14740;Williamson;1890;24.30462375339982
PG12386;Holley;1881;31.328318288197927
PG5371;Churchill;1909;19.573874445149016
PG45402;Aimard;1850;24.97651663405088
PG5727;Bailey;1913;15.772394881170019
PG41269;Boothby;1886;23.579331648413365
PG45265;Potter;1904;14.48
PG23633;Murfree;1886;26.31297709923664
PG35946;Lathrop;1874;22.259854657564414
PG10372;Vachell;1908;16.763345943673812
PG21788;Henty;1867;24.03840898739942
PG35705;A. L. O. E.;1857;27.249112845990062
PG17371;Gruelle;1909;20.42627883650953
PG45857;Vandérem;1902;18.506043395951654
PG26651;Chambers;1899;17.789647791399105
PG32117;Fyles;1879;21.76987568661463
PG10573;Jacobs;1903;19.570618264322178
PG28295;Chambers;1899;19.974291272929406
PG55101;Hume;1896;15.489528422852258
PG39231;Johnston;1897;20.17913965822039
PG46156;Blackmore;1862;32.335372436128104
PG2728;Haggard;1890;29.130872483221477
PG24252;Optic;1860;23.988718775181304
PG52211;Walpole;1912;23.839935760171308
PG6245;Parker;1897;20.423190546528804
PG6517;Merriman;1882;18.938700449530035
PG5247;Bennett;1899;17.52182454417091
PG61235;Merezhkovsky;1903;23.19344262295082
PG2776;Henry;1886;19.793213457076565
PG35447;Dixon;1905;17.80123693751333
PG17733;Crockett;1887;24.527380590203833
PG1848;Haggard;1890;28.97228244038402
PG5521;Ebers;1868;32.15810810810811
PG6177;Parker;1897;19.20616113744076
PG4603;Hichens;1907;17.53136574754542
PG11478;Jacobs;1903;16.15062761506276
PG13531;Stockton;1868;27.112666666666666
PG10930;Bindloss;1906;18.741653302230645
PG29130;Duncan;1894;17.932025547445257
PG5441;Ebers;1868;25.78439024390244
PG25991;Derieux;1902;17.140979234139838
PG2813;Bennett;1899;17.645403738677974
PG23154;Vachell;1908;17.19627390096421
PG58115;Horton;1901;18.802464306669275
PG41549;Davis;1904;19.660540283609286
PG12308;Henty;1867;31.11644908616188
PG21733;Ballantyne;1860;24.378674351585016
PG54439;Thruston;1900;19.31997710360618
PG48690;Besant;1868;23.389742103738048
PG42498;Dowling;1872;17.24911971830986
PG58954;Lummis;1894;23.710387078808132
PG47557;Oliphant;1862;24.02126024590164
